Extron pricelist drive link- https://docs.google.com/spreadsheets/d/1V2sjY4C5fK7a3ri32zxymZrhKaiDBU74/edit?usp=drive_link&ouid=115637406728694488059&rtpof=true&sd=true,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
904,MediaLink Controller for Cable Cubby Cable Access Enclosures,60-1005-52,MLC 62 RS CC,65880,549,713.7,0.18,,,
905,MediaLink® Controller With RS-232 - Decorator-Style Wallplate,60-1005-02,MLC 62 RS D,52200,435,565.5,0.18,,,
906,MediaLink® Controller for EU Junction Boxes - Black,60-1005-32,MLC 62 RS EU,52200,435,565.5,0.18,,,
907,MediaLink® Controller for EU Junction Boxes - White,60-1005-35,MLC 62 RS EU,52200,435,565.5,0.18,,,
908,MediaLink® Controller for MK Junction Boxes,60-1005-23,MLC 62 RS MK,52200,435,565.5,0.18,,,
909,MediaLink® Controller With Volume Control Knob - Decorator-Style Wallplate,60-1182-02,MLC 64 RS VC D,69600,580,754,0.18,,,
910,Projector Communication Cable – Plenum - 50' (15.2m),26-708-50,MLC IR/RS-232 P/50,7800,65,84.5,0.18,,,
911,MediaLink® Plus Controller,60-1469-03,MLC Plus 100,104400,870,1131,0.18,,,
912,MediaLink® Plus Controller,60-1540-02,MLC Plus 100 AAP,110400,920,1196,0.18,,,
913,MediaLink® Plus Controller,60-1470-02,MLC Plus 200,127800,1065,1384.5,0.18,,,
914,MediaLink® Plus Controller,60-1541-02,MLC Plus 200 AAP,131640,1097,1426.1,0.18,,,
915,"Black, 4"" Touch Surface, 2-Gang",60-2014-01,MLC Plus 400,165600,1380,1794,0.18,,,
916,MediaLink® Plus Controller,60-1468-03,MLC Plus 50,87000,725,942.5,0.18,,,
917,MediaLink® Plus Controller - Decorator-Style Wallplate,60-1194-03,MLC Plus 84 D,110400,920,1196,0.18,,,
918,MediaLink® Plus Controller - EU Wallplate,60-1354-33,MLC Plus 84 EU,74880,624,811.2,0.18,,,
919,MediaLink® Plus Controller - MK Wallplate,60-1354-23,MLC Plus 84 MK,74880,624,811.2,0.18,,,
920,"Black and White Faceplates for MLC Plus 100 and EBP 100, 4-gang",70-1193-01,MLM 100 AAP,7560,63,81.9,0.18,,,
921,Mounting Kit with Decorator-Style Opening for the MLC Plus 100 and EBP 100,70-1100-03,MLM 100 D,5280,44,57.2,0.18,,,
922,"Black and White Faceplates for MLC Plus 200 and EBP 200, 5-gang",70-1194-01,MLM 200 AAP,7560,63,81.9,0.18,,,
923,Mounting Kit with Decorator-Style Opening for the MLC Plus 200 and EBP 200,70-1101-03,MLM 200 D,5280,44,57.2,0.18,,,
924,One-Gang Wall Mounting Kit for the MLC 55 RS,70-1094-02,MLM 55,1920,16,20.8,0.18,,,
925,Six button bezel kit w/ buttons for MLC 62 D,70-688-02,MLM 62 D 6B,3720,31,40.3,0.18,,,
926,Eight button bezel kit w/ buttons for MLC 62 D,70-688-12,MLM 62 D 8B,3720,31,40.3,0.18,,,
927,Mounting Kit for MLC Plus 84 EU and Flex55/EU Modules,70-1272-33,MLM 84 Flex55,5280,44,57.2,0.18,,,
928,Four Input Stereo Audio MediaLink® Switcher,60-497-01,MLS 100 A,37560,313,406.9,0.18,,,
929,TLS 525M Mullion Mount Kit - Black,70-1264-12,MMK 1,14040,117,152.1,0.18,,,
930,TLS 525M Mullion Mount Kit – Aluminum,70-1264-18,MMK 1,14040,117,152.1,0.18,,,
931,TLS 725M Mount Kit – Black,70-1264-22,MMK 2,16560,138,179.4,0.18,,,
932,TLS 725M Mount Kit – Aluminum,70-1264-28,MMK 2,16560,138,179.4,0.18,,,
933,TLS 1025M Mount Kit – Black,70-1264-32,MMK 3,17880,149,193.7,0.18,,,
934,TLS 1025M Mount Kit – Aluminum,70-1264-38,MMK 3,17880,149,193.7,0.18,,,
935,Microphone Preamplifier,60-718-10,MP 101,19800,165,214.5,0.18,,,
936,Stereo Amp - 15 Watts Per Channel,60-844-03,MPA 152 Plus,29280,244,317.2,0.18,,,
937,"One Channel Amp, 60 watts at 100 volts",60-1449-11,MPA 601-100V,39480,329,427.7,0.18,,,
938,"One Channel Amp, 60 watts at 70 volts",60-1449-01,MPA 601-70V,37560,313,406.9,0.18,,,
939,One-Gang Mud Ring - Black,70-519-12,MR 100,960,8,10.4,0.18,,,
940,One-Gang Mud Ring - White,70-519-13,MR 100,960,8,10.4,0.18,,,
941,Two-Gang Mud Ring - Black,70-519-22,MR 200,1800,15,19.5,0.18,,,
942,Two-Gang Mud Ring - White,70-519-23,MR 200,1800,15,19.5,0.18,,,
943,Three-Gang Mud Ring - Black,70-519-32,MR 300,2280,19,24.7,0.18,,,
944,Three-Gang Mud Ring - White,70-519-33,MR 300,2280,19,24.7,0.18,,,
945,Four-Gang Mud Ring - Black,70-519-42,MR 400,2760,23,29.9,0.18,,,
946,Four-Gang Mud Ring - White,70-519-43,MR 400,2760,23,29.9,0.18,,,
947,"Audio Adapter: 3.5 mm Mini Stereo to 2 RCA Female - 6"" (15 cm)",26-592-01,MSR 6,840,7,9.1,0.18,,,
948,MTP Twisted Pair Receiver for Composite Video and Audio,60-541-51,MTP R AV,19800,165,214.5,0.18,,,
949,MTP Twisted Pair Receiver for VGA and Audio,60-1062-01,MTP RL 15HD A,45360,378,491.4,0.18,,,
950,MTP Twisted Pair Transmitter for Composite Video and Audio,60-540-51,MTP T AV,19800,165,214.5,0.18,,,
951,Three Source Audio Mixer with DSP,60-2048-01,MVC 121 xi,45240,377,490.1,0.18,,,
952,VGA Micro HR Cable: 15-pin HD Male to Male Low-Profile Molded - 12' (3.6 m),26-567-03,MVGA M-M/12,4200,35,45.5,0.18,,,
953,VGA Micro HR Cable: 15-pin HD Male to Male Low-Profile Molded - 25' (7.6 m),26-567-04,MVGA M-M/25,6360,53,68.9,0.18,,,
954,VGA Micro HR Cable: 15-pin HD Male to 15-pin HD Male Low-Profile Molded - 3' (90 cm),26-567-01,MVGA M-M/3,3480,29,37.7,0.18,,,
955,VGA Micro HR Cable: 15-pin HD Male to Male Low-Profile Molded - 6' (1.8 m),26-567-02,MVGA M-M/6,3480,29,37.7,0.18,,,
956,VGA Micro HR with Audio Cable: 15-pin HD Male to Male Low-Profile Molded + 3.5mm Stereo Mini Plug Male to Male - 12' (3.6 m),26-566-03,MVGA-A M-M/12,5040,42,54.6,0.18,,,
957,VGA Micro HR with Audio Cable: 15-pin HD Male to Male Low-Profile Molded + 3.5mm Stereo Mini Plug Male to Male - 25' (7.6 m),26-566-04,MVGA-A M-M/25,7560,63,81.9,0.18,,,
958,VGA Micro HR with Audio Cable: 15-pin HD Male to Male Low-Profile Molded + 3.5mm Stereo Mini Plug Male to Male - 3' (90 cm),26-566-01,MVGA-A M-M/3,4080,34,44.2,0.18,,,
959,VGA Micro HR with Audio Cable: 15-pin HD Male to Male Low-Profile Molded + 3.5mm Stereo Mini Plug Male to Male - 6' (1.8 m),26-566-02,MVGA-A M-M/6,4080,34,44.2,0.18,,,
960,VGA Micro HR with Audio Cable: 15-pin HD Male to Male Low-Profile Molded + 3.5mm Stereo Mini Plug Male to Male - 9' (2.7 m),26-566-09,MVGA-A M-M/9,5280,44,57.2,0.18,,,
961,4x4 VGA and Stereo Audio Matrix Switcher,60-635-21,MVX 44 VGA A,114960,958,1245.4,0.18,,,
962,10G HDMI Encoder - Multimode,60-1572-15,NAV 10E 101,226080,1884,2449.2,0.18,,,
963,10G HDMI Encoder - Singlemode,60-1572-16,NAV 10E 101,243480,2029,2637.7,0.18,,,
964,"10G Pro AV over IP Encoder for HDMI, Decorator-Style Wallplate, Black - MM",60-1572-21,NAV 10E 201 D,319800,2665,3464.5,0.18,,,
965,"10G Pro AV over IP Encoder for HDMI, Decorator-Style Wallplate, Black - SM",60-1572-22,NAV 10E 201 D,337200,2810,3653,0.18,,,
966,"10G Pro AV over IP Encoder for HDMI, Decorator-Style Wallplate, White - MM",60-1572-23,NAV 10E 201 D,319800,2665,3464.5,0.18,,,
967,"10G Pro AV over IP Encoder for HDMI, Decorator-Style Wallplate, White - SM",60-1572-24,NAV 10E 201 D,337200,2810,3653,0.18,,,
968,"10G Pro AV over IP Encoder for HDMI and Ethernet, Decorator-Style Wallplate, Black - MM",60-1572-25,NAV 10E 401 D,337200,2810,3653,0.18,,,
969,"10G Pro AV over IP Encoder for HDMI and Ethernet, Decorator-Style Wallplate, Black - SM",60-1572-26,NAV 10E 401 D,353880,2949,3833.7,0.18,,,
970,"10G Pro AV over IP Encoder for HDMI and Ethernet, Decorator-Style Wallplate, White - MM",60-1572-27,NAV 10E 401 D,337200,2810,3653,0.18,,,
971,"10G Pro AV over IP Encoder for HDMI and Ethernet, Decorator-Style Wallplate, White - SM",60-1572-28,NAV 10E 401 D,353880,2949,3833.7,0.18,,,
972,"10G HDMI, Ethernet, USB Encoder - Multimode",60-1572-01,NAV 10E 501,251760,2098,2727.4,0.18,,,
973,"10G HDMI, Ethernet, USB Encoder - Singlemode",60-1572-02,NAV 10E 501,269160,2243,2915.9,0.18,,,
974,10G HDMI Scaling Decoder - Multimode,60-1572-19,NAV 10SD 101,226080,1884,2449.2,0.18,,,
975,10G HDMI Scaling Decoder - Singlemode,60-1572-20,NAV 10SD 101,243480,2029,2637.7,0.18,,,
976,"10G HDMI, Ethernet, and USB Scaling Decoder - Multimode",60-1572-07,NAV 10SD 501,251760,2098,2727.4,0.18,,,
977,"10G HDMI, Ethernet, and USB Scaling Decoder - Singlemode",60-1572-08,NAV 10SD 501,269160,2243,2915.9,0.18,,,
978,1G Pro AV over IP Compact Decoder - HDMI,60-2040-03,NAV D 121,105120,876,1138.8,0.18,,,
979,1G HDMI Encoder,60-1525-12,NAV E 101,181440,1512,1965.6,0.18,,,
980,1G Pro AV over IP Encoder with DTP,60-1525-15,NAV E 101 DTP,223800,1865,2424.5,0.18,,,
981,1G Pro AV over IP Compact Encoder - HDMI,60-2040-01,NAV E 121,105120,876,1138.8,0.18,,,
982,"1G Pro AV over IP Encoder for HDMI, Decorator-Style Wallplate, Black",60-1525-05,NAV E 201 D,276720,2306,2997.8,0.18,,,
983,"1G Pro AV over IP Encoder for HDMI, Decorator-Style Wallplate, White",60-1525-06,NAV E 201 D,276720,2306,2997.8,0.18,,,
984,"1G Pro AV over IP Encoder for HDMI and Ethernet, Decorator-Style Wallplate, Black",60-1525-07,NAV E 401 D,294120,2451,3186.3,0.18,,,
985,"1G Pro AV over IP Encoder for HDMI and Ethernet, Decorator-Style Wallplate, White",60-1525-08,NAV E 401 D,294120,2451,3186.3,0.18,,,
986,"1G HDMI, Ethernet, and USB Encoder",60-1525-01,NAV E 501,207960,1733,2252.9,0.18,,,
987,"1G Fiber HDMI, Ethernet, USB Encoder - Multimode",60-1958-05,NAV E 511,226800,1890,2457,0.18,,,
988,"1G Fiber HDMI, Ethernet, USB Encoder - Singlemode",60-1958-06,NAV E 511,244200,2035,2645.5,0.18,,,
989,1G HDMI Scaling Decoder,60-1525-14,NAV SD 101,186960,1558,2025.4,0.18,,,
990,1G Pro AV over IP Compact Scaling Decoder - HDMI,60-2040-02,NAV SD 121,150480,1254,1630.2,0.18,,,
991,"1G HDMI, Ethernet, and USB Scaling Decoder",60-1525-03,NAV SD 501,207960,1733,2252.9,0.18,,,
992,"1G Fiber HDMI, Ethernet, USB Scaling Decoder - Multimode",60-1958-07,NAV SD 511,226800,1890,2457,0.18,,,
993,"1G Fiber HDMI, Ethernet, USB Scaling Decoder - Singlemode",60-1958-08,NAV SD 511,244200,2035,2645.5,0.18,,,
994,Entry Level Version for 16 Endpoints,60-1534-01,NAVigator,173880,1449,1883.7,0.18,,,
995,Network Button Panel with 6 Buttons - US 2-Gang,60-1794-01,NBP 100,65880,549,713.7,0.18,,,
996,Network Button Panel with 4 Buttons – Flex55 and EU Wall Frame,60-2050-01,NBP 104 EU,58320,486,631.8,0.18,,,
997,Network Button Panel with 5 Buttons - Decorator-Style Wallplate,60-1688-01,NBP 105 D,58320,486,631.8,0.18,,,
998,Network Button Panel with 6 Buttons - Decorator-Style Wallplate,60-1817-01,NBP 106 D,58320,486,631.8,0.18,,,
999,Network Button Panel with 8 Buttons - Decorator-Style Wallplate,60-1818-01,NBP 108 D,58320,486,631.8,0.18,,,
1000,Network Button Panel with 8 Buttons – Flex55 and EU Wall Frame,60-2051-01,NBP 108 EU,58320,486,631.8,0.18,,,
1001,Network Button Panel with 10 Buttons - Decorator-Style Wallplate,60-1689-01,NBP 110 D,58320,486,631.8,0.18,,,
1002,Cable Cubby Enclosure with Network Button Panel - Black,60-1835-01,NBP 1200C,113400,945,1228.5,0.18,,,
1003,Network Button Panel with 10 Buttons - US 2-Gang,60-1795-01,NBP 200,74880,624,811.2,0.18,,,
1004,Network Button Panel with 6 Buttons - US 2-Gang,60-1953-01,NBP 50,61320,511,664.3,0.18,,,
1005,Network Button Panel with Volume Control - Decorator-Style Wallplate,60-2036-01,NBP VC1 D,58320,486,631.8,0.18,,,
1006,Network Button Panel with Volume Control – Flex55 and EU Wall Frame,60-2052-01,NBP VC1 EU,58320,486,631.8,0.18,,,
1007,Network Button Panel with Dual Volume Control - Decorator-Style Wallplate,60-2037-01,NBP VC2 D,58320,486,631.8,0.18,,,
1008,Network Button Panel with Dual Volume Control – Flex55 and EU Wall Frame,60-2053-01,NBP VC2 EU,58320,486,631.8,0.18,,,
1009,"One Channel Dante Amp, 100 watts at 70 volts",60-1501-01,NetPA 1001-70V AT,73800,615,799.5,0.18,,,
1010,Four Ch PoE Dante Amplifier - Up to 20 Watts/Ch,60-2047-01,NetPA 204 POE,50280,419,544.7,0.18,,,
1011,"Two Channel Dante Amp, 100 watts at 8 or 4 ohms",60-1767-01,NetPA U 1002,164760,1373,1784.9,0.18,,,
1012,"Two Channel Dante Amp, 100 watts at 100 volts",60-1767-12,NetPA U 1002-100V,164760,1373,1784.9,0.18,,,
1013,"Two Channel Dante Amp, 100 watts at 70 volts",60-1767-02,NetPA U 1002-70V,164760,1373,1784.9,0.18,,,
1014,"Four Channel Dante Amp, 100 watts at 8 or 4 ohms",60-1766-01,NetPA U 1004,190200,1585,2060.5,0.18,,,
1015,"Four Channel Dante Amp, 100 watts at 100 volts",60-1766-12,NetPA U 1004-100V,190200,1585,2060.5,0.18,,,
1016,"Four Channel Dante Amp, 100 watts at 70 volts",60-1766-02,NetPA U 1004-70V,190200,1585,2060.5,0.18,,,
1017,"Two Ch Bridgeable Output Dante Amp, 200/400 Watts",60-1757-01,NetPA U 2002 SB,183840,1532,1991.6,0.18,,,
1018,"Mono Dante Subwoofer Amp, 800 watts at 8 ohms",60-1866-01,NetPA U 8001 SUB,183840,1532,1991.6,0.18,,,
1019,Half-size Flex55 Module; Black,70-1148-12,Network F-F Barrel,3120,26,33.8,0.18,,,
1020,Half-size Flex55 Module; White,70-1148-13,Network F-F Barrel,3120,26,33.8,0.18,,,
1021,Occupancy Sensor - Ceiling Mount,60-1664-01,OCS 100C,37080,309,401.7,0.18,,,
1022,Occupancy Sensor - Wall Mount,60-1665-01,OCS 100W,37080,309,401.7,0.18,,,
1023,"Laser-Optimized Duplex Multimode Fiber - Plenum, 2 km (6,562') Spool",22-225-02,OM4 MM P/2K,426120,3551,4616.3,0.18,,,
1024,Single Space AAP - Black: One 15-pin HD Female to Female Gender Changer,70-101-11,One 15-pin HD Female to Female Gender Changer,3120,26,33.8,0.18,,,
1025,Single Space MAAP - Black: One 15-pin HD Female to Female Gender Changer,70-309-11,One 15-pin HD Female to Female Gender Changer,3120,26,33.8,0.18,,,
1026,"Double Space MAAP - Black: One 15-pin HD Female to Female Gender Changer, One 3.5 mm Stereo Mini Jack to Solder Cups",70-433-12,"One 15-pin HD Female to Female Gender Changer, One 3.5 mm Stereo Mini Jack to Solder Cups",3960,33,42.9,0.18,,,
1027,"Single Space AAP - Black: One 15-pin HD Female to Female Gender Changer, One 3.5 mm Stereo Mini Jack to Solder Tabs",70-101-13,"One 15-pin HD Female to Female Gender Changer, One 3.5 mm Stereo Mini Jack to Solder Tabs",4680,39,50.7,0.18,,,
1028,"Single Space AAP - Black: One 15-pin HD Female to Female Gender Changer, One 3.5 mm Stereo Mini Jack to Solder Tabs, Standard Silkscreen: ""Computer"", ""Audio""",70-101-73,"One 15-pin HD Female to Female Gender Changer, One 3.5 mm Stereo Mini Jack to Solder Tabs",6000,50,65,0.18,,,
1029,"Single Space AAP - Black: One 15-pin HD Female to Female on 6"" Pigtail, One 3.5 mm Mini Jack on Captive Screw Connector",70-1221-02,"One 15-pin HD Female to Female on 6"" Pigtail, One 3.5 mm Mini Jack on Captive Screw",7560,63,81.9,0.18,,,
1030,Single Space MAAP - Black: One 3.5 mm Stereo Mini Jack to Captive Screw Terminal,70-293-13,One 3.5 mm Stereo Mini Jack to Captive Screw Terminal,5280,44,57.2,0.18,,,
1031,Single Space MAAP - Black: One 3.5 mm Stereo Mini Jack to Solder Tabs,70-293-11,One 3.5 mm Stereo Mini Jack to Solder Tabs,3120,26,33.8,0.18,,,
1032,"Single Space MAAP - White: One 3.5 mm Stereo Mini Jack to Solder Tabs, Standard Silkscreen: ""Audio""",70-293-22,One 3.5 mm Stereo Mini Jack to Solder Tabs,4680,39,50.7,0.18,,,
1033,Single Space AAP - Black: One 3.5 mm Stereo Mini Jack,70-587-11,One 3.5 mm Stereo Mini Jack to Solder Tabs,3120,26,33.8,0.18,,,
1034,Single Space AAP - White: One 3.5 mm Stereo Mini Jack,70-587-21,One 3.5 mm Stereo Mini Jack to Solder Tabs,3120,26,33.8,0.18,,,
1035,Single Space MAAP - Black: One 5-pin Captive Screw Terminal to Solder Tabs,70-308-11,One 5-pin Captive Screw Terminal to Solder Tabs,3120,26,33.8,0.18,,,
1036,Single Space MAAP - Black: One 9-pin D Female to Female Gender Changer,70-310-11,One 9-pin D Female to Female Gender Changer,3120,26,33.8,0.18,,,
1037,Single Space MAAP - White: One 9-pin D Female to Female Gender Changer,70-310-21,One 9-pin D Female to Female Gender Changer,3120,26,33.8,0.18,,,
1038,Single Space MAAP - Black: One BNC Female to Female Barrel,70-286-11,One BNC Female to Female Barrel,3120,26,33.8,0.18,,,
1039,"Single Space MAAP - Black: One BNC Female to Female Barrel, Standard Silkscreen: ""Video""",70-286-12,One BNC Female to Female Barrel,4680,39,50.7,0.18,,,
1040,Single Space MAAP - White: One BNC Female to Female Barrel,70-286-21,One BNC Female to Female Barrel,3120,26,33.8,0.18,,,
1041,"Single Space MAAP - Black: One DisplayPort Female to One DisplayPort Female on 10"" Pigtail",70-676-12,"One DisplayPort Female to One DisplayPort Female on 10"" Pigtail",6000,50,65,0.18,,,
1042,"Single Space MAAP - White: One DisplayPort Female to One DisplayPort Female on 10"" Pigtail",70-676-13,"One DisplayPort Female to One DisplayPort Female on 10"" Pigtail",6000,50,65,0.18,,,
1043,"Single Space AAP - Black: One DisplayPort Female to One DisplayPort Female on 10"" Pigtail",70-677-12,"One DisplayPort Female to One DisplayPort Female on 10"" Pigtail",6000,50,65,0.18,,,
1044,"Single Space AAP - White: One DisplayPort Female to One DisplayPort Female on 10"" Pigtail",70-677-13,"One DisplayPort Female to One DisplayPort Female on 10"" Pigtail",6000,50,65,0.18,,,
1045,Double Space MAAP - Black: One Fiber Duplex LC Female to Female Barrel,70-470-11,One Fiber Duplex LC Female to Female Barrel,5280,44,57.2,0.18,,,
1046,"Single Space AAP - Black: One HDMI Female to Female on 10"" Pigtail, One RJ-45 Female to Female Barrel – CAT 5e",70-1220-02,"One HDMI Female to Female on 10"" Pigtail, One RJ-45 Female to Female Barrel - CAT 5e",7560,63,81.9,0.18,,,
1047,"Single Space AAP - White: One HDMI Female to Female on 10"" Pigtail, One RJ-45 Female to Female Barrel – CAT 5e",70-1220-03,"One HDMI Female to Female on 10"" Pigtail, One RJ-45 Female to Female Barrel - CAT 5e",7560,63,81.9,0.18,,,
1048,Half-size Flex55 Module; Black,70-1178-02,One HDMI Female to Female on Pigtail,6000,50,65,0.18,,,
1049,Half-size Flex55 Module; White,70-1178-03,One HDMI Female to Female on Pigtail,6000,50,65,0.18,,,
1050,Single Space AAP - Black: One HDMI Female to Female on Pigtail,70-616-12,One HDMI Female to Female on Pigtail,6000,50,65,0.18,,,
1051,Single Space AAP - White: One HDMI Female to Female on Pigtail,70-616-13,One HDMI Female to Female on Pigtail,6000,50,65,0.18,,,
1052,Single Space MAAP - Black: One HDMI Female to Female on Pigtail,70-617-12,One HDMI Female to Female on Pigtail,6000,50,65,0.18,,,
1053,Single Space MAAP - White: One HDMI Female to Female on Pigtail,70-617-13,One HDMI Female to Female on Pigtail,6000,50,65,0.18,,,
1054,"Single Space AAP - Black: One HDMI Female to Female on Pigtail, One 3.5 mm Stereo Mini Jack to Captive Screw",70-1017-02,"One HDMI Female to Female on Pigtail, One 3.5 mm Stereo Mini Jack to Captive Screw",9000,75,97.5,0.18,,,
1055,"Single Space AAP - White: One HDMI Female to Female on Pigtail, One 3.5 mm Stereo Mini Jack to Captive Screw",70-1017-03,"One HDMI Female to Female on Pigtail, One 3.5 mm Stereo Mini Jack to Captive Screw",9000,75,97.5,0.18,,,
1056,"Single Space AAP - Black: One HDMI Female to Female on pigtail, One Momentary Switch to Captive Screw on 4” Pigtail",70-1091-02,"One HDMI Female to Female on pigtail, One Momentary Switch to Captive Screw on 4” Pigtail",11160,93,120.9,0.18,,,
1057,Single Space AAP - Black: One HDMI Female to One USB A 2.0 Female Pigtails,70-1351-02,"One HDMI Female, One USB A 2.0 Female on Pigtails",6360,53,68.9,0.18,,,
1058,Single Space AAP - White: One HDMI Female to One USB A 2.0 Female Pigtails,70-1351-03,"One HDMI Female, One USB A 2.0 Female on Pigtails",6360,53,68.9,0.18,,,
1059,Single Space AAP - Black: One HDMI Female to One USB A 3.2 Female Pigtails,70-1352-02,"One HDMI Female, One USB A 3.2 Female to USB B Female on Pigtails",8280,69,89.7,0.18,,,
1060,Single Space AAP - White: One HDMI Female to One USB A 3.2 Female Pigtails,70-1352-03,"One HDMI Female, One USB A 3.2 Female to USB B Female on Pigtails",8280,69,89.7,0.18,,,
1061,Single Space AAP – Black: One Momentary Switch to Captive Screw,70-1077-02,One Momentary Switch to Captive Screw,7560,63,81.9,0.18,,,
1062,Full-size Flex55 Module; Black,70-1154-22,One Neutrik Opening,2400,20,26,0.18,,,
1063,Full-size Flex55 Module; White,70-1154-23,One Neutrik Opening,2400,20,26,0.18,,,
1064,Double Space MAAP - Black: One Neutrik Speakon Male to Solder Tabs - 4 Pole,70-298-11,One Neutrik Speakon Male to Solder Tabs - 4 Pole,3720,31,40.3,0.18,,,
1065,Double Space AAP - Black: One Neutrik Speakon Male to Solder Tabs - 4 Pole,70-323-12,One Neutrik Speakon Male to Solder Tabs - 4 Pole,3720,31,40.3,0.18,,,
1066,Single Space AAP - Black: One RJ-11 Female to Female Barrel - Phone,70-411-11,One RJ-11 Female to Female Barrel - Phone,3120,26,33.8,0.18,,,
1067,Single Space AAP - Black: One RJ-11 Female to Punch Down - Phone,70-410-11,One RJ-11 Female to Punch Down - Phone,3120,26,33.8,0.18,,,
1068,Single Space MAAP - Black: One RJ-45 Female to Female Barrel - CAT 5e,70-314-13,One RJ-45 Female to Female Barrel - CAT 5e,3120,26,33.8,0.18,,,
1069,"Single Space MAAP - Black: One RJ-45 Female to Female Barrel - CAT 5e Standard Silkscreen: ""Network""",70-314-14,One RJ-45 Female to Female Barrel - CAT 5e,4680,39,50.7,0.18,,,
1070,Double Space MAAP - Black: One RJ-45 Female to Female Barrel - CAT 5e,70-314-16,One RJ-45 Female to Female Barrel - CAT 5e,3120,26,33.8,0.18,,,
1071,Single Space MAAP - White: One RJ-45 Female to Female Barrel - CAT 5e,70-314-23,One RJ-45 Female to Female Barrel - CAT 5e,3120,26,33.8,0.18,,,
1072,Single Space AAP - Black: One RJ-45 Female to Female Barrel - CAT 5e,70-402-11,One RJ-45 Female to Female Barrel - CAT 5e,3120,26,33.8,0.18,,,
1073,Single Space AAP - White: One RJ-45 Female to Female Barrel - CAT 5e,70-402-21,One RJ-45 Female to Female Barrel - CAT 5e,3120,26,33.8,0.18,,,
1074,Single Space MAAP - Black: One RJ-45 Female to Punch Down - CAT 5,70-314-11,One RJ-45 Female to Punch Down - CAT 5,3720,31,40.3,0.18,,,
1075,Single Space AAP - Black: One RJ-45 Female to Punch Down - CAT 5,70-412-11,One RJ-45 Female to Punch Down - CAT 5,3720,31,40.3,0.18,,,
1076,Double Space MAAP - Black: One RJ-45 Female to Punch Down; CAT 5e Neutrik EtherCon,70-314-19,One RJ-45 Female to Punch Down - CAT 5e Neutrik EtherCon,5280,44,57.2,0.18,,,
1077,Double Space MAAP - White: One RJ-45 Female to Punch Down; CAT 5e Neutrik EtherCon,70-314-29,One RJ-45 Female to Punch Down - CAT 5e Neutrik EtherCon,5280,44,57.2,0.18,,,
1078,Double Space AAP - Black: One RJ-45 Female to Punch Down - CAT 5e Neutrik EtherCon Ruggedized Connector,70-413-11,One RJ-45 Female to Punch Down - CAT 5e Neutrik EtherCon Ruggedized Connector,5280,44,57.2,0.18,,,
1079,Double Space MAAP - Black: One RJ-45 Female to Punch Down - CAT 6,70-314-15,One RJ-45 Female to Punch Down - CAT 6,3720,31,40.3,0.18,,,
1080,Double Space MAAP - White: One RJ-45 Female to Punch Down - CAT 6,70-314-25,One RJ-45 Female to Punch Down - CAT 6,3720,31,40.3,0.18,,,
1081,Single Space MAAP - Black: One RJ-45 Female to Punch Down for CAT 6,70-314-17,One RJ-45 Female to Punch Down for CAT 6,3720,31,40.3,0.18,,,
1082,Double Space MAAP - Black: One RJ-45 Female to Punch Down for CAT 6,70-314-18,One RJ-45 Female to Punch Down for CAT 6,3720,31,40.3,0.18,,,
1083,Single Space MAAP - White: One RJ-45 Female to Punch Down for CAT 6,70-314-27,One RJ-45 Female to Punch Down for CAT 6,3720,31,40.3,0.18,,,
1084,Single Space AAP - Black: One RJ-45 Female to Punch Down for CAT 6,70-414-11,One RJ-45 Female to Punch Down for CAT 6,3720,31,40.3,0.18,,,
1085,Single Space AAP - White: One RJ-45 Female to Punch Down for CAT 6,70-414-21,One RJ-45 Female to Punch Down for CAT 6,3720,31,40.3,0.18,,,
1086,Half-size Flex55 Module; Black,70-1180-02,One USB 2.0 Type-A Female to Female on Pigtail,4680,39,50.7,0.18,,,
1087,Half-size Flex55 Module; White,70-1180-03,One USB 2.0 Type-A Female to Female on Pigtail,4680,39,50.7,0.18,,,
1088,One USB 2.0 Type-A Female to Female on Pigtail - Single Space MAAP - Black,70-455-12,One USB 2.0 Type-A Female to Female on Pigtail,4680,39,50.7,0.18,,,
1089,One USB 2.0 Type-A Female to Female on Pigtail - Single Space MAAP - White,70-455-13,One USB 2.0 Type-A Female to Female on Pigtail,4560,38,49.4,0.18,,,
1090,"Single Space AAP - Black: One USB 2.0 Type-A Female to Female on Pigtail, One RJ-45 Female to Female Barrel - CAT 5e",70-609-12,"One USB 2.0 Type-A Female to Female on Pigtail, One RJ-45 Female to Female Barrel - CAT 5e",4680,39,50.7,0.18,,,
1091,Single Space MAAP - Black: One USB 2.0 Type-A Female to USB Type-B Female Adapter,70-383-11,One USB 2.0 Type-A Female to USB Type-B Female Adapter,4680,39,50.7,0.18,,,
1092,"Single Space AAP - Black: One USB 2.0 Type-A to 4-pin Captive Screw Terminal Connector, One 3.5 mm Stereo Mini Jack to Solder Tabs",70-249-02,"One USB 2.0 Type-A to 4-pin Captive Screw Terminal Connector, One 3.5 mm Stereo Mini Jack to Solder Tabs",6720,56,72.8,0.18,,,
1093,Half-size Flex55 Module; Black,70-1240-02,One USB 3.2 Type-A Female to USB 3.2 Type-B Female on Pigtail,5280,44,57.2,0.18,,,
